"";"mod2";"modalite";"sp1";"sp2";"pot";"sp";"ind";"etat";"origine";"nbleaves1";"le length";"le width";"st diam";"st length";"obs";"date";"mort";"area";"masse";"masse_tot.x";"vol";"masse_tot.y";"vol_tot";"diffmass";"diffvol";"X";"nom_binomial";"basisOfRecord";"individualCount";"kingdom";"recordedBy";"eventDate";"country";"countryCode";"island";"licence"
"1";"INTER2 ABUEXS FURFOE 1 ABUEXS 2";"INTER2";"ABUEXS";"FURFOE";1;"ABUEXS";2;1;NA;2;1,9;1,2;1;3,1;"MR, TV";2024-10-04;NA;2,28;-0,00243411368526408;-0,00486822737052817;3,1;1,84;9,9;1,84486822737053;6,8;1;"Abutilon exstipulare";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"2";"INTER2 ABUEXS FURFOE 1 FURFOE 1";"INTER2";"ABUEXS";"FURFOE";1;"FURFOE";1;1;NA;3;23,6;3,4;NA;NA;"MR, TV";2024-10-04;NA;80,24;0,615542975006322;1,84662892501896;NA;13,5135;NA;11,666871074981;NA;7;"Furcraea foetida";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"3";"INTER2 ABUEXS FURFOE 2 ABUEXS 2";"INTER2";"ABUEXS";"FURFOE";2;"ABUEXS";2;1;NA;3;2,5;1,4;1;4,1;"MR, TV";2024-10-04;NA;3,5;-0,000422179104001115;-0,00126653731200334;4,1;0,1015;7,5;0,102766537312003;3,4;1;"Abutilon exstipulare";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"4";"INTER2 ABUEXS FURFOE 2 FURFOE 1";"INTER2";"ABUEXS";"FURFOE";2;"FURFOE";1;1;NA;3;24,4;3;NA;NA;"MR, TV";2024-10-04;NA;73,2;0,552688448167699;1,6580653445031;NA;13,698;NA;12,0399346554969;NA;7;"Furcraea foetida";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"5";"INTER2 ABUEXS FURFOE 3 ABUEXS 2";"INTER2";"ABUEXS";"FURFOE";3;"ABUEXS";2;1;NA;3;2,4;1,2;1;2,8;"MR, TV";2024-10-04;NA;2,88;-0,00144463766169213;-0,0043339129850764;2,8;1,696;17,35;1,70033391298508;14,55;1;"Abutilon exstipulare";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"6";"INTER2 ABUEXS FURFOE 3 FURFOE 1";"INTER2";"ABUEXS";"FURFOE";3;"FURFOE";1;1;NA;3;21,5;3,2;NA;NA;"MR, TV";2024-10-04;NA;68,8;0,51340436889356;1,54021310668068;NA;16,672;NA;15,1317868933193;NA;7;"Furcraea foetida";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"7";"INTER2 ABUEXS FURFOE 4 ABUEXS 2";"INTER2";"ABUEXS";"FURFOE";4;"ABUEXS";2;1;NA;3;2,5;1,2;1;3;"MR, TV";2024-10-04;NA;3;-0,00124674245697774;-0,00374022737093323;3;3,7035;26,4;3,70724022737093;23,4;1;"Abutilon exstipulare";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"8";"INTER2 ABUEXS FURFOE 4 FURFOE 1";"INTER2";"ABUEXS";"FURFOE";4;"FURFOE";1;1;NA;3;21,1;2,9;NA;NA;"MR, TV";2024-10-04;NA;61,19;0,445460768148969;1,33638230444691;NA;19,748;NA;18,4116176955531;NA;7;"Furcraea foetida";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"9";"INTER2 ABUEXS FURFOE 5 ABUEXS 2";"INTER2";"ABUEXS";"FURFOE";5;"ABUEXS";2;1;NA;3;2,2;1,3;0,5;3,9;"MR, TV";2024-10-04;NA;2,86;-0,0014776201958112;-0,00443286058743359;1,95;2,652;23,316;2,65643286058743;21,366;1;"Abutilon exstipulare";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"10";"INTER2 ABUEXS FURFOE 5 FURFOE 1";"INTER2";"ABUEXS";"FURFOE";5;"FURFOE";1;1;NA;3;24,6;3,3;NA;NA;"MR, TV";2024-10-04;NA;81,18;0,623935482851252;1,87180644855376;NA;14,02;NA;12,1481935514462;NA;7;"Furcraea foetida";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"11";"INTER2 ABUEXS LEULEU 1 ABUEXS 2";"INTER2";"ABUEXS";"LEULEU";1;"ABUEXS";2;1;NA;7;2,1;1,3;0,5;2;"MR, OF";2024-10-10;NA;2,73;-0,00169200666758512;-0,0118440466730958;1;5,292;37,6;5,3038440466731;36,6;1;"Abutilon exstipulare";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"12";"INTER2 ABUEXS LEULEU 1 LEULEU 1";"INTER2";"ABUEXS";"LEULEU";1;"LEULEU";1;1;NA;2;2,3;3,25;1;3,2;"MR, OF";2024-10-10;NA;7,475;0,0118276925919385;0,0295692314798463;3,2;4,697;39;4,66743076852015;35,8;11;"Leucaena leucocephala";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"13";"INTER2 ABUEXS LEULEU 2 ABUEXS 2";"INTER2";"ABUEXS";"LEULEU";2;"ABUEXS";2;1;NA;2;2,5;1,4;0,5;2,6;"MR, OF";2024-10-10;NA;3,5;-0,000422179104001115;-0,00084435820800223;1,3;4,04;24,3;4,040844358208;23;1;"Abutilon exstipulare";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"14";"INTER2 ABUEXS LEULEU 2 LEULEU 1";"INTER2";"ABUEXS";"LEULEU";2;"LEULEU";1;1;NA;3;3,3;4,5;1,5;5,1;"MR, OF";2024-10-10;NA;14,85;0,0195137257018304;0,0682980399564064;7,65;5,787;60;5,71870196004359;52,35;11;"Leucaena leucocephala";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"15";"INTER2 ABUEXS LEULEU 3 ABUEXS 2";"INTER2";"ABUEXS";"LEULEU";3;"ABUEXS";2;1;NA;2;2,4;1,25;0,5;2,8;"MR, OF";2024-10-10;NA;3;-0,00124674245697774;-0,00249348491395548;1,4;1,955;19,71;1,95749348491396;18,31;1;"Abutilon exstipulare";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"16";"INTER2 ABUEXS LEULEU 3 LEULEU 1";"INTER2";"ABUEXS";"LEULEU";3;"LEULEU";1;0;NA;1;2,7;3,5;1;3,3;"MR, OF";2024-10-10;NA;9,45;0,013885986204418;0,0486009517154632;3,3;2,056;33,445;2,00739904828454;30,145;11;"Leucaena leucocephala";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"17";"INTER2 ABUEXS LEULEU 4 ABUEXS 2";"INTER2";"ABUEXS";"LEULEU";4;"ABUEXS";2;1;NA;2;2,7;1,45;0,5;3,7;"MR, OF";2024-10-10;NA;3,915;0,000262208478969485;0,000524416957938971;1,85;5,1425;19,575;5,14197558304206;17,725;1;"Abutilon exstipulare";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"18";"INTER2 ABUEXS LEULEU 4 LEULEU 1";"INTER2";"ABUEXS";"LEULEU";4;"LEULEU";1;1;NA;5;4,5;4;2;4,1;"MR, OF";2024-10-10;NA;18;0,0227965737419876;0,14817772932292;8,2;12,4505;68,85;12,3023222706771;60,65;11;"Leucaena leucocephala";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"19";"INTER2 ABUEXS LEULEU 5 ABUEXS 2";"INTER2";"ABUEXS";"LEULEU";5;"ABUEXS";2;1;NA;2;1,3;0,85;1;3,4;"MR, OF";2024-10-10;NA;1,105;-0,00437183756475916;-0,00874367512951831;3,4;6,019;41,44;6,02774367512952;38,04;1;"Abutilon exstipulare";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"20";"INTER2 ABUEXS LEULEU 5 LEULEU 1";"INTER2";"ABUEXS";"LEULEU";5;"LEULEU";1;1;NA;2;2,4;3,5;1,5;4,7;"MR, OF";2024-10-10;NA;8,4;0,0127917035243656;0,0255834070487313;7,05;5,76;54,635;5,73441659295127;47,585;11;"Leucaena leucocephala";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"21";"INTER2 COPBOR LANCAM 1 COPBOR 2";"INTER2";"COPBOR";"LANCAM";1;"COPBOR";2;1;NA;4;1,5;0,75;1;1,9;"MR, NS";NA;NA;1,125;0,00569984074806311;0,0227993629922524;1,9;0,002;0,252;-0,0207993629922524;-1,648;3;"Coptosperma borbonicum";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"22";"INTER2 COPBOR LANCAM 1 LANCAM 1";"INTER2";"COPBOR";"LANCAM";1;"LANCAM";1;1;NA;4;3,7;2,3;2,7;8;"MR, NS";NA;NA;8,51;0,0238232049307273;0,0952928197229093;21,6;7,72;125,65;7,62470718027709;104,05;10;"Lantana camara";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"23";"INTER2 COPBOR LANCAM 2 COPBOR 2";"INTER2";"COPBOR";"LANCAM";2;"COPBOR";2;1;NA;4;1,8;0,4;0,8;1,3;"MR, NS";NA;NA;0,72;0,00446944456929608;0,0178777782771843;1,04;0,051;0,8;0,0331222217228157;-0,24;3;"Coptosperma borbonicum";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"24";"INTER2 COPBOR LANCAM 2 LANCAM 1";"INTER2";"COPBOR";"LANCAM";2;"LANCAM";1;0;NA;4;2,8;1,1;1,2;8;"MR, NS";NA;NA;3,08;-0,000254406974419485;-0,00101762789767794;9,6;16,0813333333333;125,05;16,082350961231;115,45;10;"Lantana camara";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"25";"INTER2 COPBOR LANCAM 3 COPBOR 2";"INTER2";"COPBOR";"LANCAM";3;"COPBOR";2;1;NA;4;1,5;0,55;0,8;0,8;"MR, NS";NA;NA;0,825;0,00478843617119865;0,0191537446847946;0,64;0,032;0,112;0,0128462553152054;-0,528;3;"Coptosperma borbonicum";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"26";"INTER2 COPBOR LANCAM 3 LANCAM 1";"INTER2";"COPBOR";"LANCAM";3;"LANCAM";1;1;NA;28;7;3,6;2,5;9,6;"MR, NS";NA;NA;25,2;0,0978297137146869;2,73923198401123;24;8,34545454545455;55,224;5,60622256144331;31,224;10;"Lantana camara";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"27";"INTER2 COPBOR LANCAM 4 COPBOR 2";"INTER2";"COPBOR";"LANCAM";4;"COPBOR";2;1;NA;4;1,7;0,8;1;2;"MR, NS";NA;NA;1,36;0,00641377433327361;0,0256550973330944;2;0,024;0,29;-0,00165509733309443;-1,71;3;"Coptosperma borbonicum";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"28";"INTER2 COPBOR LANCAM 4 LANCAM 1";"INTER2";"COPBOR";"LANCAM";4;"LANCAM";1;1;NA;14;8,3;5,15;3,4;7,8;"MR, NS";NA;NA;42,745;0,175627448682606;2,45878428155648;26,52;5,15625;36,61;2,69746571844352;10,09;10;"Lantana camara";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"29";"INTER2 COPBOR LANCAM 5 COPBOR 2";"INTER2";"COPBOR";"LANCAM";5;"COPBOR";2;0;NA;4;1,9;0,75;1;1,9;"MR, NS";NA;NA;1,425;0,00661124532492757;0,0264449812997103;1,9;0,048;0,26;0,0215550187002897;-1,64;3;"Coptosperma borbonicum";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"30";"INTER2 COPBOR LANCAM 5 LANCAM 1";"INTER2";"COPBOR";"LANCAM";5;"LANCAM";1;1;NA;34;7;3,6;3,8;11;"MR, NS";NA;NA;25,2;0,0978297137146869;3,32621026629935;41,8;6,86933333333333;66,24;3,54312306703398;24,44;10;"Lantana camara";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"31";"INTER2 COPBOR PSICAT 1 COPBOR 2";"INTER2";"COPBOR";"PSICAT";1;"COPBOR";2;1;NA;6;1,7;0,7;1,2;2,2;"MR, NS";2024-10-04;NA;1,19;0,00589731173971708;0,0353838704383025;2,64;0,056;0,2;0,0206161295616975;-2,44;3;"Coptosperma borbonicum";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"32";"INTER2 COPBOR PSICAT 1 PSICAT 1";"INTER2";"COPBOR";"PSICAT";1;"PSICAT";1;1;NA;8;1;0,6;0,8;1,5;"MR, NS";2024-10-04;NA;0,6;0,00141788228342441;0,0113430582673953;1,2;3,3264;8;3,31505694173261;6,8;16;"Psidium cattleyanum";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"33";"INTER2 COPBOR PSICAT 2 COPBOR 2";"INTER2";"COPBOR";"PSICAT";2;"COPBOR";2;1;NA;4;1,5;0,6;1;1,9;"MR, NS";2024-10-04;NA;0,9;0,00501628731541476;0,020065149261659;1,9;0,672;1,35;0,651934850738341;-0,55;3;"Coptosperma borbonicum";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"34";"INTER2 COPBOR PSICAT 2 PSICAT 1";"INTER2";"COPBOR";"PSICAT";2;"PSICAT";1;1;NA;10;1,45;0,9;1;2,8;"MR, NS";2024-10-04;NA;1,305;0,00448582422143405;0,0448582422143405;2,8;9,7271052631579;13,65;9,68224702094355;10,85;16;"Psidium cattleyanum";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"35";"INTER2 COPBOR PSICAT 3 COPBOR 2";"INTER2";"COPBOR";"PSICAT";3;"COPBOR";2;1;NA;4;1,9;1,75;1;1,5;"MR, NS";2024-10-04;NA;3,325;0,0123834743117358;0,0495338972469434;1,5;0,1065;12,11;0,0569661027530566;10,61;3;"Coptosperma borbonicum";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"36";"INTER2 COPBOR PSICAT 3 PSICAT 1";"INTER2";"COPBOR";"PSICAT";3;"PSICAT";1;1;NA;10;1,6;0,9;0,8;3,1;"MR, NS";2024-10-04;NA;1,44;0,00507330246488271;0,0507330246488271;2,48;1,8305;0,24;1,77976697535117;-2,24;16;"Psidium cattleyanum";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"37";"INTER2 COPBOR PSICAT 4 COPBOR 2";"INTER2";"COPBOR";"PSICAT";4;"COPBOR";2;1;NA;4;1,5;0,65;0,9;2,1;"MR, NS";2024-10-04;NA;0,975;0,00524413845963088;0,0209765538385235;1,89;0,06;0,25;0,0390234461614765;-1,64;3;"Coptosperma borbonicum";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"38";"INTER2 COPBOR PSICAT 4 PSICAT 1";"INTER2";"COPBOR";"PSICAT";4;"PSICAT";1;1;NA;8;1,5;1,5;1,1;2,9;"MR, NS";2024-10-04;NA;2,25;0,00859817192557464;0,0687853754045971;3,19;19,89;51,362;19,8212146245954;48,172;16;"Psidium cattleyanum";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"39";"INTER2 COPBOR PSICAT 5 COPBOR 2";"INTER2";"COPBOR";"PSICAT";5;"COPBOR";2;1;NA;4;1,7;0,8;0,9;3,4;"MR, NS";2024-10-04;NA;1,36;0,00641377433327361;0,0256550973330944;3,06;0;0;-0,0256550973330944;-3,06;3;"Coptosperma borbonicum";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"40";"INTER2 COPBOR PSICAT 5 PSICAT 1";"INTER2";"COPBOR";"PSICAT";5;"PSICAT";1;1;NA;12;2,1;1,1;1,1;3,3;"MR, NS";2024-10-04;NA;2,31;0,00885927336710737;0,106311280405289;3,63;14,8802;48,19;14,7738887195947;44,56;16;"Psidium cattleyanum";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"41";"INTER2 COPBOR SEALON 1 COPBOR 2";"INTER2";"COPBOR";"SEALON";1;"COPBOR";2;1;NA;4;1,7;0,65;0,9;1,7;"MR, AM";2024-10-11;NA;1,105;0,00563908044293881;0,0225563217717553;1,53;0,032;0,345;0,00944367822824475;-1,185;3;"Coptosperma borbonicum";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"42";"INTER2 COPBOR SEALON 1 SEALON 1";"INTER2";"COPBOR";"SEALON";1;"SEALON";1;1;NA;7;2,6;2,3;0,75;2,8;"MR, AM";2024-10-11;NA;5,98;0,0078239273517378;0,0547674914621646;2,1;11,9966666666667;103,04;11,9418991752045;100,94;17;"Searsia longipes";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"43";"INTER2 COPBOR SEALON 2 COPBOR 2";"INTER2";"COPBOR";"SEALON";2;"COPBOR";2;1;NA;6;1,9;0,75;1;2;"MR, AM";2024-10-11;NA;1,425;0,00661124532492757;0,0396674719495654;2;0,1375;0,33;0,0978325280504346;-1,67;3;"Coptosperma borbonicum";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"44";"INTER2 COPBOR SEALON 2 SEALON 1";"INTER2";"COPBOR";"SEALON";2;"SEALON";1;1;NA;6;3;2,5;0,9;2,6;"MR, AM";2024-10-11;NA;7,5;0,010371127195622;0,062226763173732;2,34;18,0538181818182;117,875;17,9915914186445;115,535;17;"Searsia longipes";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"45";"INTER2 COPBOR SEALON 3 COPBOR 2";"INTER2";"COPBOR";"SEALON";3;"COPBOR";2;1;NA;4;1,95;0,55;1;1,2;"MR, AM";2024-10-11;NA;1,0725;0,00554034494711183;0,0221613797884473;1,2;0,028;0,16;0,00583862021155268;-1,04;3;"Coptosperma borbonicum";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"46";"INTER2 COPBOR SEALON 3 SEALON 1";"INTER2";"COPBOR";"SEALON";3;"SEALON";1;1;NA;7;3;2,8;0,75;2,6;"MR, AM";2024-10-11;NA;8,4;0,0118793376295008;0,0831553634065056;1,95;28,42;75,6;28,3368446365935;73,65;17;"Searsia longipes";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"47";"INTER2 COPBOR SEALON 4 COPBOR 2";"INTER2";"COPBOR";"SEALON";4;"COPBOR";2;1;NA;4;1,8;0,7;1,05;2,2;"MR, AM";2024-10-11;NA;1,26;0,00610997280765212;0,0244398912306085;2,31;0,212;0,5;0,187560108769391;-1,81;3;"Coptosperma borbonicum";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"48";"INTER2 COPBOR SEALON 4 SEALON 1";"INTER2";"COPBOR";"SEALON";4;"SEALON";1;0;NA;4;2;1,8;0,7;2,9;"MR, AM";2024-10-11;NA;3,6;0,00383554864881385;0,0153421945952554;2,03;19,7988571428571;73,15;19,7835149482619;71,12;17;"Searsia longipes";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"49";"INTER2 COPBOR SEALON 5 COPBOR 2";"INTER2";"COPBOR";"SEALON";5;"COPBOR";2;1;NA;4;1,8;0,7;0,9;2,2;"MR, AM";2024-10-11;NA;1,26;0,00610997280765212;0,0244398912306085;1,98;0,035;0,216;0,0105601087693915;-1,764;3;"Coptosperma borbonicum";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"50";"INTER2 COPBOR SEALON 5 SEALON 1";"INTER2";"COPBOR";"SEALON";5;"SEALON";1;1;NA;6;3;2,2;0,7;3,1;"MR, AM";2024-10-11;NA;6,6;0,0088629167617432;0,0531775005704592;2,17;22,4259090909091;107,67;22,3727315903386;105,5;17;"Searsia longipes";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"51";"INTER2 CROMAU HIPBEN 1 CROMAU 2";"INTER2";"CROMAU";"HIPBEN";1;"CROMAU";2;1;NA;8;7,8;3,8;3;7;"VA, MA, MR";2024-10-03;NA;29,64;0,0722744802782361;0,578195842225889;21;3,4425;46,5;2,86430415777411;25,5;4;"Croton mauritianus";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"52";"INTER2 CROMAU HIPBEN 1 HIPBEN 1";"INTER2";"CROMAU";"HIPBEN";1;"HIPBEN";1;0;NA;4;5;1,5;2;5,5;"VA, MA, MR";2024-10-03;NA;7,5;0,0382354880671583;0,152941952268633;11;2,2275;8,673;2,07455804773137;-2,327;9;"Hiptage benghalensis";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"53";"INTER2 CROMAU HIPBEN 2 CROMAU 2";"INTER2";"CROMAU";"HIPBEN";2;"CROMAU";2;1;NA;9;7;3,5;2,5;6,5;"VA, MA, MR";2024-10-03;NA;24,5;0,0589957049144871;0,530961344230384;16,25;4,9;45,315;4,36903865576961;29,065;4;"Croton mauritianus";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"54";"INTER2 CROMAU HIPBEN 2 HIPBEN 1";"INTER2";"CROMAU";"HIPBEN";2;"HIPBEN";1;1;NA;6;8;2,4;2,5;6,3;"VA, MA, MR";2024-10-03;NA;19,2;0,0747811413124459;0,448686847874676;15,75;5,694;13,475;5,24531315212532;-2,275;9;"Hiptage benghalensis";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"55";"INTER2 CROMAU HIPBEN 3 CROMAU 2";"INTER2";"CROMAU";"HIPBEN";3;"CROMAU";2;1;NA;7;7,2;3,5;4;7,7;"VA, MA, MR";2024-10-03;NA;25,2;0,0608040984465152;0,425628689125606;30,8;6,08;46,4;5,65437131087439;15,6;4;"Croton mauritianus";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"56";"INTER2 CROMAU HIPBEN 3 HIPBEN 1";"INTER2";"CROMAU";"HIPBEN";3;"HIPBEN";1;0;NA;3;6,4;2,3;3;8,4;"VA, MA, MR";2024-10-03;NA;14,72;0,0607875920356178;0,182362776106854;25,2;1,724;4,8;1,54163722389315;-20,4;9;"Hiptage benghalensis";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"57";"INTER2 CROMAU HIPBEN 4 CROMAU 2";"INTER2";"CROMAU";"HIPBEN";4;"CROMAU";2;1;NA;5;5,5;2,5;1,5;4,5;"VA, MA, MR";2024-10-03;NA;13,75;0,031223947101199;0,156119735505995;6,75;1,632;15,635;1,47588026449401;8,885;4;"Croton mauritianus";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"58";"INTER2 CROMAU HIPBEN 4 HIPBEN 1";"INTER2";"CROMAU";"HIPBEN";4;"HIPBEN";1;0;NA;6;7;2,6;2;8,7;"VA, MA, MR";2024-10-03;NA;18,2;0,0716575812060111;0,429945487236067;17,4;7,2675;23,046;6,83755451276393;5,646;9;"Hiptage benghalensis";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
"59";"INTER2 CROMAU HIPBEN 5 CROMAU 2";"INTER2";"CROMAU";"HIPBEN";5;"CROMAU";2;1;NA;9;8,2;3,7;2,5;8,4;"VA, MA, MR";2024-10-03;NA;30,34;0,0740828738102641;0,666745864292377;21;5,133;35,625;4,46625413570762;14,625;4;"Croton mauritianus";"LivingSpecimen";25;"Plantae";"Margaux Rojat";"2024";"France";"FR";"La Réunion";"http://creativecommons.org/licenses/by/4.0/legalcode"
